A&AS,advisory and assistance services
ABDS,accounting and budget distribution system
ABES,amended budget estimate submission
ABF,annular blast fragmentation
ABFDS,aerial bulk fuel delivery system
ABG,air base group
ABICS,ada based integrated control system
ABIS,advanced battlespace information system
ABIT,airborne information transmission system
ABL,airborne lasers
ABM,anti-ballistic missile
ABM,area base maintenance
ABM,acquisition and business management
ABM,air battle manager
ABNSOTBD,airborne and special operation test board
ABO,aviator breathing oxygen
ABO,air base operability
ABPB,aviation business process board
ABR,available bit rate
ABS,acrylonitrile butadiene styrene
ABS,automated bid set
ABU,air battle uniform
ABV,annual buy value
ABVM,automated best value model
ABW,air base wing
ABWG,ada binding working group
AC,aircraft commander
AC,advisory circular
AC,alternating current
AC,armament cooperation
AC,hydrogen cyanide 
ACA,air clearance authority
ACA,airlift clearance authority
ACA,associate contractor agreement
ACAG,army competition advocate general
ACALS,army cals
ACAMIS,army ca management information system
ACAP,advanced composite airframe program
ACAP,army cost analysis paper
ACAS,automated case approval system
ACAS,airlift cycle analysis spreadsheet
ACAT,acquisition category
ACAT,automatic collision avoidance technology
ACAT I,acquisition category i
ACAT II,acquisition category ii
ACB,allocated configuration baseline
ACC,air combat command
ACCES,advanced cryptologic carry on exploitation system
ACCI,air combat command instruction
ACCS,accumulation site
ACCS,air combat camera service
ACCT,account
ACD,administrative control desk
ACD,administrative commitment document
ACDA,arms control and disarmament agency
ACDB,automated cost data base
ACE,aircraft condition evaluation
ACE,automated cost estimator
ACE,american council on education
ACE,airman collaborative environment
ACE,alternate capability equipment for the abfds
ACEB,army clothing and equipment board
ACEC,ada compiler evaluation capability
ACEIT,automated cost estimating integrated tool
ACEP,advisory committee on export policy
ACES,automated civil engineer systemâ  
ACES,acquisition center executive system
ACES,army continuing education system
ACET,air cushion transport
ACF,acceptance check flight
ACF,acquisition career field
ACFD,applied computational fluid dynamic
ACFP,advanced computer flight plan
ACH,automated clearing house
ACI,allocated configuration identification
ACI,analytical condition inspection
ACI,analytic condition inspection
ACIA,aviation career improvement act
ACIB,air characteristics improvement board 
ACIP,air characteristic improvement panels
ACIP,aviation career incentive pay
ACIP,air characteristic improvement program
ACIPS,army casualty information processing system
ACIRS,automated criminal investigative reporting system
ACL,allowable cabin load
ACL,access control list
ACL,acquisition career level
ACM,automated contract manager
ACM,air combat maneuvering
ACM,authorized controlled material
ACM,advanced cruise missile
ACM,association for computing machinery
ACM,allowable cost model
ACM,aircraft configuration management
ACMA,acquisition career management advocate
ACMB,acquisition career management board
ACMC,assistant commandant of the marine corps
ACMI,air combat maneuvering instrumentation system
ACMP,acquisition career management program
ACMP,annual cost monitoring plan
ACMPP,annual cost monitoring program plan
ACMR,annual cost monitoring report
ACMS,advanced cost management system
ACMS,acquisition career management system
ACMS,automated configuration management system
ACN,administrative change notice
ACN,accreditation control number
ACN,accounting control number
ACNO,assistant chief of naval operations
ACO,administrative contracting officer
ACO,administrative contracting office
ACOC,air combat operations center
ACOCS-FMS,army customer order control system for fms
ACOM,atlantic command
ACOS,assistant chief of staff
ACOS,automated commissary operation system
ACP,ammunition control point
ACP,asset capitalization program
ACP,advance contract planning
ACP,allied communications publication
ACP,army cost position
ACP,average collection period
ACPB,acquisition career program board
ACPO,acquisition chief process office
ACPQMB,acquisition processes quality management board
ACPRB,acquisition career program review board
ACPS,automated contract preparation system
ACQ STRAT,acquisition strategy
ACR,authorization change request
ACRF,african crisis response force 
ACRI,africa crisis response initiative
ACRIU,advanced conventional remote interface unit
ACRL,accessorial cost
ACRM,aircraft collection requirement message
ACRN,accounting classification reference number
ACRS,accelerated cost recovery system
ACS,automated conversion system
ACS,air control squadron
ACS,agile combat support
ACS,assistant chief of staff
ACSA,acquisition and cross servicing agreement
ACSAG,advanced composite supportability advisory group
ACSC,air command and staff college
ACSC,armament cooperation steering committees
ACSEP,aircraft certification system evaluation program
ACSI,assistant chief of staff for intelligence
ACSM,advanced composite supportability managers
ACSN,advanced change study notice
ACSS,aircraft combat systems sustainment
ACST,advanced combat skills training
ACT,american college testing assessment program
ACT II,advanced concept and technology ii
ACTD,advanced concept technology demonstration
ACTRL,acoustic signature
ACTS,army compliance tracking system
ACTS,automated centralized ticketing system
ACTS,advanced combat training systems
ACU,automatic calling unit
ACUS,administrative conference of the united state
ACUS,area common user system
ACWP,actual cost of work performed
AD,armament division
AD,airworthiness directive
AD,absolute deviation
AD,advanced development
A-D,analog to digital converter
ADA,advanced delivery alert
ADA,anti-deficiency act
ADA,department of defense high order language
ADA,american dental association
ADAP,ammunition demand automated process
ADARTS,ad based design approach for real time system
ADATS,adjustable diversity acoustic telemetry system
ADATS,ate development and troubleshooting
ADC,applied direct cost
ADC,area defense counsel
ADC,actual direct cost
ADC,analog-to-digital conversion/converter
ADD,army data dictionary
ADD,adjusted availability date
ADDS,aerial delivery dispensing system
ADDS,army data distribution system
ADE,automated data element
ADEN,armament development enfield
ADF,aircraft data files
ADG,aircraft delivery group
ADI,attitude direction indicator
ADI,airfield driving instruction
ADIS,acquisition and due-in system 
ADLS,aeronautical data link system
ADLWRS,area dental laboratory workload reporting system
ADM,acquisition decision memorandum
ADM,advanced development model
ADMP,adjusted month program
ADMS,automated data management system
ADN,agency disclosure notice
ADO,automated delivery order
ADO,army digitization office
ADO,army distribution objective
ADOCS,aegis documentation system
ADP,automated data processing
ADP,automatic data processing
ADPA,american defense preparedness association
ADPE,automated data processing equipment
ADPE,automatic data processing equipment
ADPF,automated data processing facility
ADPL,annual dpem program limitation
ADPM,airfield driving program manager
ADPRMIS,adp resource management information system
ADPS,automatic data processing system
ADPS,automated data processing system
ADR,armament delivery recording
ADR,ammunition disposition report
ADR,alternative dispute resolution
ADR,applied data research
ADR,accelerated delivery request
ADR,aircraft damage repair
ADR,adjudicative desk reference
ADRA,administrative dispute resolution act
ADS,advanced distributed simulation
ADS,automated data system
ADS,active denial system
ADS,advance distributed simulation
ADS,advanced display system
ADS,advanced deployable system
ADSAM,air-directed surface-to-air missile
ADSC,active duty service commitment
ADSN,accounting and disbursing station number
ADT,active duty for training
ADUA,administrative directory user agent
ADUS,avionic data utilization system
ADV,auditable dollar volume
AE,acquisition executive
AE,apportioned effort
AE,abbreviate evaluate
AEA,atomic energy act
AEA,american electronics association
AEA,actual expense allowance
AEB,aircrew evaluation board
AEC,application essentiality code
AECA,arm export control act
AECA,arms export control act
AECB,arms export control board
AECC,aeromedical evacuation coordination center
AECM,aeromedical evacuation crew member
AECMC,aeromedical evacuation crew management cell
AECO,advance engineering change order
AECS,aeromedical evacuation command squadron
AECS,advanced entry control system
AECT,aeromedical evacuation control team
AED,aeronautical engineering division 
AEDC,arnold engineering development center
AEDO,aeronautical engineering duty officer 
AEDR,aviation epidemiology data register
AEDS,atomic energy detection system
AEF,aerospace expeditionary force
aeg,air expeditionary group
aeg,aerospace expeditionary group
AEGH,aeromedical evacuation group headquarters
AEHA,army environmental hygiene agency
AEL,allowance equipage list
AELT,aeromedical evacuation liaison team
AEMR,acquisition executive management report
AEOO,aeromedical evacuation operations officer
AEOT,aeromedical evacuation operations team
AEP,accrued expenditures paid
AEP,allied engineering publication
AEP,accrued expense paid
AEPS,army electronic product support
AER,alternate exposure route
AES,aeromedical evacuation squadron
AES,acquisition executive service
AES,ada evaluation system
aesa,active electronically-scanned array
AESC,aeromedical evacuation support cell
AESH,aeromedical evacuation squadron headquarters
AESO,advanced engineering supplemental order
AETC,air education and training command
AETCFARS,air education and training command far supplement
AEU,accrued expense unpaid
AEU,accrued expenditures unpaid
AEW,aerospace expeditionary wing
AEW,airborne early warning
AEW&C,airborne early warning and control
AEWS,aircraft engine warranty sub board
AEWS,atmospheric early warning system
AF,air force
AF,air field
AF CoS,air force continuum of service
AF IMCO,air force information management control officer
AF OIPT,air force overarching integrated product team
AF TO,air force technical order
AFA,air force academy
AFA,air force association
AFAA,air force audit agency
AFAC,air force advisory committee
AFAC,air force acquisition circular
AFAE,air force acquisition executive
AFAEMS,air force automated education management system
AFAFC,air force accounting and finance center
AFAFO,air force accounting and finance office
AFALC,air force air logistics center
AFAM,air force acquisition model
AFAMS,air force agency for modeling and simulation
AFAO,approved force acquisition objective
AFARS,army federal acquisition regulation supplement
AFASC,air force aeronautical system centers
AFASI,air force automated system inventory
AFATDS,advanced field artillery tactical data system
AFB,air force base
AFB,air frame bulletin
AFBCA,air force base conversion agency
AFBCIF,air force base capital improvement fund
AFBCMR,air force board for correction of military record
AFBOP,air force business opportunities page
AFBS,air force broadcasting service
AFBS,af corporate board structure
AFC,air force council
AFC2IC,air force c2 integration center
AFC2S,air force command and control system
AFCA,air force communication agency
AFCAA,air force cost analysis agency
AFCAF,air force central adjudication facility
AFCAIG,air force cost analysis improvement group
AFCAM,aviation fuels capability assessment model
AFCAP,air force contract augmentation program
AFCARA,air force civilian appellate review agency
AFCAS,air force combat ammunition system
AFCAT,air force catalog
AFCC,air force component command
AFCC,air force communication command
AFCDA,air force component data administrator
AFCDD,air force corporate data dictionary
AFCEE,air force center for environmental excellence
AFCERT,air force computer emergency response team
AFCESA,air force civil engineer support agency
AFCFM,air force career field manager
AFCIC,air force communications and information center
AFCIS,air force capabilities investment strategy
AFCMD,air force contract management division
AFCO,air force certifying officer
AFCO,air force certifying official
AFCOCS,air force customer order control system
AFCOMAC,air force combat ammunition center
AFCOMS,air force commissary service
AFCOMSEC,air force communication security
AFCPMC,air force civilian personnel management center
AFCPO,air force cals program office
AFCRD,air force contract requirement document
AFCS,automatic flight control system
AFCS,army facilities component systems
AFCS,automatic fire control system
AFCSA,air force c4 system architecture
AFCSC,air force cryptologic support center
AFCSPO,air force computer security program office
AFCSS,air force contingency support squadron
AFCSSO,air force combat supply support office
AFCSSO,air force contingency supply system office
AFCT,armed forces classification test
AFCTL,air force component team leader
AFCVIL,air force central visual information library
AFD,automated file designator
AFD,abbreviated functional description
AFD,airfield directory
AFDA,air force data administrator
AFDAP,air force designated acquisition program
AFDC,air force doctrine center
AFDC,aid to families with dependent children
AFDCO,air force distribution control office
AFDIR,air force directory
AFDO,award fee determining official
AFDSDC,air force data systems design center
AFDTC,air force development test center
AFDW,air force district of washington
AFE,alternate fighter engine
AFEB,award fee evaluation board
AFECO,air force electronic combat office
AFEDG,air force engineering data group
AFELM,air force element
AFEMS,air force equipment management systemâ â  
AFEOC,air force emergency operations center
AFEPL,air force electronic publication library
AFEPL,air force electronic publishing library
AFESC,air force explosive safety council
AFETC,air force education and training command
AFETS,air force engineering and technical service
AFETS,air force engineering and technical support
AFEWES,air force electronic warfare evaluation simulator
AFF,air force form
AFFF,aqueous film forming foam
AFFMA,air force frequency management agency
AFFMF,air force financial management fund
AFFMS,af fitness management system
AFFN,air force foreign national
AFFOR-WES,air force forces warfighter enterprise system
AFFSA,air force flight standard agency
AFFSC,air force financial services center
AFG,annual funding guidance
AFG,auto-force generator 
AFGAL,air force global address list
AFGE,american federation of government employees
AFGLSC,air force global logistics support system
AFGMCO,air force mobility concept of operations
AFGOMO,air force general officer matters office
AFGWC,air force global weather central
AFH,air force handbook
AFH,air force handout
AFHCP,air force hazard communication program
AFHOI,air force headquarters operating instruction
AFHPSP,armed force health profession scholarship program
AFHRA,air force historical research agency
AFHRL,air force human resource laboratory
AFI,awaiting further instruction
AFI,air force instruction
AFIA,air force inspection agency
AFIAB,air force incentive award board
AFIC,air force intelligence command
AFIF,air force insurance fund
AFIF,air force industrial fund
AFIFIO,air force information for industry offices
AFIN,air force internet
AFINCC,air force internet control center
AFIND,air force indexes
AFIOC,af information operations center
AFIP,armed force institute of pathology
AFIRDS,air force information resource dictionary systems
AFIS,air force intelligence service
AFIS,automated fleet information system
AFIS,armed forces information service
AFISA,air force intelligence support agency
AFIT,air force institute of technology
AFIWC,air force information warfare center
AFJAM,air force joint manual
AFJI,air force joint instruction
AFJQS,air force job qualification standard
AFKAG,air force cryptographic aid general
AFKM,air force knowledge management
AFKN,air force knowledge now
AFKS,air force knowledge system
AFL,air force at large
AFLC,air force logistics command
AFLCM,air force logistics command manual
AFLCMC,air force life cycle management center
AFLCP,air force logistics command pamphlet
AFLCR,air force logistics command regulation
afld,airfield
AFLIF,air force logistic information file
AFLMA,air force logistics management agency
AFLOA,air force legal operation agency
AFLP,air force lead program
AFLSA,air force legal services agency
AFM,automated funds management
AFM,airfield manager
AFM,air force manual
AFMA,air force manpower agency
AFMAM,air force medical applications model
AFMC,air force materiel command
AFMCAC,air force materiel command acquisition circular
AFMCI,air force materiel command instruction
AFMCM,air force materiel command manual
AFMCP,air force materiel command pamphlet
AFMCR,air force materiel command regulation
AFMD,air force mission directive
AFMEA,air force management engineering agency
AFMEDS,air force medical excess distribution system
AFMETCAL,air force metrology and calibration
AFMG,air force manpower guide
AFMLSG,air force munition logistic steering group
AFMMFO,air force medical material field office
AFMOA,air force medical operations agency
AFMPC,air force military personnel center
AFMQCC,air force maintenance quality control checksheet
AFMS,air force manpower standard
AFMS,air force medical service
AFMSL,air force measurement standard laboratory
AFMSS,air force mission support system
AFMSWG,air force modeling & simulation working group
AFNAF,air force nonappropriated fund
AFNAFPO,air force nonappropriated fund purchasing office
AFNCC,air force network control center
AFNET,air force integrated telecommunication network
AFNOC,air force network operations center
AFNOI,air force network operating instruction
AFNP,air force nonrecurring pamphlet
AFNT,air force negotiation team
AFO,accounting and finance offices
AFOAA,air force office of attachã© affair
AFOEA,air force organizational excellence award
AFOSC,air force operation support centers
AFOSH,air force occupational safety and health
AFOSH STD,air force occupational safety and health standard
AFOSI,air force office of special investigations
AFOSR,air force office of scientific research
AFOTEC,air force operational test & evaluation center
AFOUA,air force outstanding unit award
AFP,air force pamphlet
AFPAM,act program air force pamphlet
AFPAN,air force public affairs network
AFPB,air force publishing bulletin
AFPC,air force personnel center
AFPD,air force policy directive
AFPDC,air force publishing distribution center
AFPDL,air force publication distribution library
AFPDL,air force publishing distribution library
AFPEA,air force packaging evaluation activity
AFPEO,air force program executive office
AFPG,air force planning guidance
AFPM,air force project manager
AFPOD,air force point of debarkation
AFPOE,air force point of embarkation
AFPP,air force program projection
AFPR,air force plant representative
AFPRO,air force plant representative office
AFPSL,afpsl - air force primary standards laboratory
AFQTP,air force qualification training package
AFQTP,air force quality training packages
AFR,air force reserve
AFR,air force regulation 
AFRAMS,air force recoverable assembly management system
AFRAP,air force remedial action program
AFRB,air force review board
AFRB,award fee review board
AFRC,air force readiness center
AFRC,air force reserve command
AFREA,air force real estate agency
AFREP,air force repair enhancement program
AFRES,air force reserves
AFRH,armed force retirement home
AFRHTF,armed force retirement home trust fund
AFRIMS,air force records information management system
AFRIP,air force reuse implementation plan
AFRL,air force research laboratory
AFROTC,air force reserve officer training corps
AFRP,air force recurring pamphlet
AFRP,air force recurring periodical
AFRPA,air force real property agency
AFRPL,air force rocket propulsion lab
AFRT,american force radio and television
AFRTS,armed forces radio and television service
AFS,air force specialty
AFS,air force station
AFSA,air force sergeants association
AFSA,air force safety agency
AFSAA,air force studies and analysis agency
AFSAC,air force security assistance center
AFSAL,air force specialized aid
AFSAMR,air force security assistance management review
AFSARC,air force systems acquisition review council
AFSAS,air force safety automated system
AFSAT,air force security assistance training
AFSAT,air force subscale aerial target
AFSAT,air force standard analysis toolkit
AFSC,air force sustainment center
AFSC,air force safety center
AFSC,air force specialty code
AFSC,armed forces staff college
AFSCAPS,air force standard civilian automated pay system
AFSCN,air force satellite control network
AFSCP,air force systems command pamphlet
AFSEC,air force sensor evaluation center
AFSEO,air force seek eagle office
AFSF,air force stock fund
AFSFC,air force security forces center
AFSFFD,air force stock fund fuels division
AFSG,air force safety group
AFSOC,air force special operations command
afsof,air force special operations forces
AFSPA,air force security police agency
AFSPACECOM,air force space command
AFSPCI,air force space command instruction
AFSS,automated fuel service station
AFSSI,air force system security instruction
AFSSM,air force system security memorandum
AFSSM,air force system security manual
AFSTC,air force space technology center
AFSUP1,air force supplement
AFSVA,air force services agency
AFT,alert fire team
AFTAC,air force tactical applications center
AFTAC,air force technical applications center
AFTB,avionic flying test bed
AFTC,air force targeting center
AFTC,air force test center
AFTEC,air force test &amp; evaluation center
AFTER,army future test and evaluation requirement
AFTI,advanced fighter technology integration
AFTMS,air force training management system
AFTOC,air force total ownership cost
AFTP,additional flying training period
AFTR,air force training record
AFTTP,"air force tactics, techniques and procedures"
AFU,audit follow up
AFV,awaiting fix verification
AFVA,air force visual aid
AFVE,annual fuel utilization efficiency
AFVEC,air force virtual education center
AFW,air force weather
AFWA,air force weather agency
AFWAL,air force wright aeronautical laboratory
AFWCF,air force working capital fund
AFWMAA,air force wide mission area analysis
AFWTF,atlantic fleet weapons training facility
AFWWS,air force weather weapon system
AFY2KWG,air force year 2000 working group
AG,advisory group
AG,activity group
AGA,american gas association
AGB,acquisition governance board
AGCC,acquisition governance coordinating council
AGE,aerospace ground equipment
AGE-P,aerospace ground equipment powered
AGL,above ground level
AGM,air-to-ground missile
AGMA,american gear manufacturing association
AGMC,aerospace guidance and metrology center
AGMS,air to ground missile system
AGO,administrative grant officer
AGOS,air ground operations support
AGR,active guard reserve
AGS,armed guard surveillance
AGS,aircraft generation squadron
AGSEWG,aircraft ground support equipment working group
AGTFT,antijam gps technology flight test
AGU,airborne guidance unit
AH,alternate headquarters
AH,attack helicopter
AHCFMS,army health care financial management system
AHE,automated history entry
AHMCM,anti-helicopter mine countermeasure
AHMMO,army heavy metal management office
AHP,analytical hierarchy process
AHRS,attitude and heading reference system
AHWG,ad hoc working group
AI,artificial intelligence
AI,air intercept
AI,airborne interceptor
AI/IT,airborne information/imagery transmission
AIA,aerospace industries association
AIA,air intelligence agency
AIA,avionic integration area
AIAA,american institute of aeronautic and astronomic
AIB,accident investigation board
AIC,allowance item code
AIC,assignment instruction code
AICPA,american institute of certified public accountant
AICUZ,air installation compatible use zone
AID,agency for international development
AID,adaptor interconnect device
AIE,acceptance inspection equipment
AIEWS,advanced integrated electronic warfare system
AIF,army industrial fund
AIFF,"advanced identification, friend or foe"
AIG,address indicator group
AIG,address indicating group
AIGA,american institute of graphic art
AIIM,association for information and image management
AIIS,automated information infrastructure system
AIK,aid in kind
AIM,advanced industrial management
AIM,air intercept missile
AIM,aeronautical information manual
AIM,air intercept missile 
AIM,application interpreted model
AIM,authoring instructional material
AIMCR,alternative internal management control review
AIMD,aviation intermediate maintenance department
AIMS,automated inventory management system
AIMS,agency information management system
AIMS,automated instruction management system
AIMS,air intercept missile system
AIMW,advanced international management workshop
AIN,approved item name
AIN,army interoperability network
AIP,avionics integrity program
AIPAC,american-israel public affairs committee
AIPC,alternate indentured product code
AIR,aerospace information report
AIR,armament integration review
AIRADE,airborne radar detection
AIRS,acquisition information reporting system
AIS,acquisition information system
AIS,automated information system
AISF,avionics integration support facility
AISI,american iron and steel institute
AISSP,ais security plan
AIT,analysis and integration team
AIT,application/infrastructure tool
AIT,automated identification technology
AIT,american institute in taiwan
AITS,adopted information technology standard
AJ,anti jam
AJ,administrative judge
AJP,advanced joint planning
AJPO,ada joint program office
AJUA,airport joint use agreement
AKNLDG,acknowledge
AL,armstrong laboratory
AL,acquisition logistics
AL,acquisition logistic
ALAN,aircraft landing authorization number
ALARM,advance low altitude radar model
ALC,accounting legend code
ALC,aircrew laptop computer
ALC,american language course
ALC,air logistics center 
ALCE,airlift control element
ALCF,airlift control flight
ALCM,air launched cruise missile
ALCP,acquisition leadership challenge program
ALCPT,american language course placement test
ALE,automated link establishment
ALE,annual loss expectancy
ALE,annual loss exposure
ALE,annual loss estimate
ALEP,aircrew laser eye protection
ALERT,air/land enhanced reconnaissance and targeting
ALERT,air logistics early requirements technique
ALFS,airborne low frequency sonar
ALIC,aircraft launcher interface computer
ALISS,"advanced, light weight influence sweep system"
ALISS,advanced lightweight influence sweep system
ALLA,allied long line agency
ALM,airlift loading model
ALMAG,air launched missile analysis group
ALMC,army logistics management college
ALMDS,airborne laser mine detection system
ALMILACT,all military activities
ALO,authorized level of organization 
ALOC,advanced logistic officer course
ALOC,acceptable level of competence
ALP,aviation leadership program
ALP,approval for limited production 
ALPS,automated logistic publishing systems
ALRC,acquisition leadership review council
ALRE,aircraft launch and recovery equipment
ALRPG,army long range planning guidance
ALRW,acquisition and logistics reform week
ALS,action lead sheet
ALS,airman leadership school
ALSMT,als management team
ALSP,aggregate level simulation protocol
ALSS,aviation life support system
ALSS,airborne life support system
ALT,administrative lead time
ALU,arithmetic logic unit
ALZ,assault landing zone
AM,asset management
AM,armament and munition
AM,amplitude modulation
AM3,affordable mullet missile manufacturing
AMA,accelerator monitoring assembly
AMA,area management activity
AMAC,aircraft monitoring and control
AMARC,aircraft maintenance and regeneration center
AMARC,aerospace maintenance and regeneration center
amarg,aerospace maintenance and regeneration group:
AMAS,automated materiel acquisition system
AMC,airborne mission commander
AMC,air mobility command
AMC PAM,army materiel command pamphlet
AMCAQ,acquisition and contracting
AMCBO,army materiel command battery office
AMCCC,appeal office of the command counsels
AMCCOM,"armament, munitions, and chemical command "
AMCFARS,army materiel command far supplement
AMCL,approved milscap change letter
AMCM,airborne mine countermine
AMCM,advance mission cost models
AMCOM,aviation and missile command 
AMCOS,army manpower cost system
AMCS,automated materiel control system
AMCSAF,air mobility command studies and analysis flight
AMCSS,army military clothing sale store
AMD,average monthly demand
AMDF,army master data file
AMDS,aerospace medicine squadron
AME,automated maintenance environment
AME,alternate mission equipment
AMEC,army management engineering college
AMEDD,army medical department
AMEGS,aircraft maintenance event ground station
AMEMB,american embassy
AMETL,agency mission essential task list
AMFB,acquisition management functional board
AMG,architecture management group
AMG,ada management group
AMI,avionics midlife improvement
AMIC,aircraft mishap investigation course
AMIP,aircraft modification integration program
AMIS,agency management information system
AMIS,acquisition management information system
AMIS,automated management information system
AMM,army modernization memorandum
AMM,acquisition material management
AMMIS,aircraft maintenance manpower information system
AMMO,ammunition catalog
AMMOS,advanced maintenance and munitions officer school
AMMP,approved modification/maintenance program
AMMS,acquisition management milestone system
AMMT,advanced minehunting and mapping technology
AMOC,airfield management operations coordinator
AMOC,aircraft maintenance officer course
AMOCC,air mobility operations control center
A-Mods,administrative modifications
AMOS,airfield management operations supervisor
AMOS,air mobility operations simulation
AMP,average month program
AMP,army modernization plan
AMP,avionics modernization program
AMPAS,analytical maintenance program analysis system
AMPE,automated message processing exchange
AMQP,aircraft maintenance qualification program
AMR,absolute maximum rating
AMRAAM,"advanced medium-range, air-to-air missile"
AMS,air mobility squadron
AMS,airborne mission supervisor
AMS,army management structure
AMS,asset management system
AMS,acquisition management system
AMSA,automated maintenance systems analysis
AMSAA,army materiel systems analysis agency
AMSAA,army materiel system analysis activity
AMSC,acquisition method suffix code
AMSCO,army management structure code
AMSDL,acquisition management source data list
AMSDL,acquisition management systems data list
AMSEC,army model and simulation executive council
AMSO,army model and simulation office
AMT,asset marking and tracking
AMT,accelerated mission testing
AMT,aerial mail terminal
AMTS,asset marking and tracking system
AMU,aircraft maintenance unit
AMW,air mobility wing
AMWG,architecture methodology working group
AMX,air mobility express
AMXG,ar-sa>aircraft maintenance group
AMXS,aircraft maintenance squadron
AN,airborne networking
ANAD,anniston army depot
ANC,alaskan native corporation
ANCOAT,annual national conference on ada technology
ANG,air national guard
ANGFPA,air national guard fire protection activity
ANGI,air national guard instruction
ANGIND,air national guard index
ANGMS,air national guard manpower standard
ANGRC,air national guard readiness center
ANI,automatic number identification
ANI,airborne network integration
ANMCS,anticipated not mission capable supply
ANO,analysis operator
ANORS,aircraft not operationally ready - supply
ANOVA,analysis of variance
ANS,american national standard
ANSI,american national standards institute
ANSRS,automated non standard requisitioning system
Ao,action office
Ao,availability
Ao,accounting office
Ao,area of operations
Ao,approving official
Ao,announcement of opportunity
Ao,authorizing official
Ao,action officer
Ao,area of operation
AOA,abbreviated operational assessment
AOA,angle of attack
AOB,airfield operations board
AOB,annual operating budget
AOC,air &amp; space operations center
AOC,air operation center
AOC,area of concentration
AOC,annual operating cost 
AOCI,accredited off campus instruction
AOCP,aviation officer continuation pay
AOCP,aircraft out of commission - parts needed
AOG,aircraft on the ground 
AOG,action officer guide
AOG,air operations group
AOH,average operating hour
AOI,additional operational issue
AOIC,additional operational issues and criteria
AOL,absence over leave
AOL,aircraft operating limitation
AON,act of nature
AOP,additive operational project
AOR,area of responsibility
AOR,accumulated operating result
AOS,air operation squadron
AOSN,autonomous ocean sampling network
AOTD,active optical target detector
AOW,asia ocean workshop
AP,acquisition plan
AP,affirmative procurement
AP,application protocol
AP2I,acquisition pollution prevention initiatives
AP3,acquisition pollution prevention program
APA,analysis plan for assessment
APA,"aircraft, propulsion, and avionic"
APA,army procurement appropriation
A-P-A,aircraft-propulsion-avionics
APAACT,army procurement appropriation accounting
APAI,advanced planning acquisition information
APARS,army procurement appropriation reporting system
APAT,acquisition process action team
APB,avionic planning baseline
APB,advanced processing build
APB,amended presidents budget
APB,acquisition program baseline
APBI,advanced planning briefing to industry
APC,army petroleum center 
APC,agency/organization program coordinator
APC,acquisition position category
APC,agency program coordinator
APC,accelerated provisioning concept
APCAPS,"automated payroll, cost and personnel system"
APD,activity precedence diagram
APD,application program designation
APDE,acquisition program digital environment
APDP,acquisition program development process
APDP,acquisition professional development program
APDS,automated personnel data system
APDS,advanced personnel data systems
APEC,acquisition planning executive council
APEP,administrative and professional exchange program
APESO,army product engineering service office
APF,appropriated funds
APG,aberdeen proving ground
APG,acquisition planning guide
API,acquisition program integration
API,applications program interface
API,automatic payment of invoices
API,application program interface
API,armor piercing incendiary
API,american petroleum institute
